"행정구역(시군구)별",2021. 04,2021. 04,2021. 04,2021. 05,2021. 05,2021. 05,2021. 06,2021. 06,2021. 06
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"논산시",115520,57810,57710,115431,57742,57689,115305,57674,57631
"계룡시",43235,21539,21696,43242,21542,21700,43168,21504,21664
"금산군",50950,25699,25251,50932,25687,25245,50890,25662,25228
"부여군",64527,32029,32498,64426,31987,32439,64361,31965,32396
"서천군",51289,25323,25966,51274,25321,25953,51153,25270,25883
"청양군",30658,15569,15089,30590,15533,15057,30548,15510,15038
"홍성군",99755,49627,50128,99757,49634,50123,99440,49522,49918
"예산군",77538,39005,38533,77468,38979,38489,77348,38925,38423
"태안군",61802,31128,30674,61818,31149,30669,61867,31177,30690
"전라북도",1796331,893415,902916,1794682,892833,901849,1794345,892670,901675
"전주시",656755,323164,333591,656934,323271,333663,657428,323491,333937
"완산구",338010,164576,173434,337822,164537,173285,337968,164603,173365
"덕진구",318745,158588,160157,319112,158734,160378,319460,158888,160572
"전주시효자출장소",0,0,0,0,0,0,0,0,0
"군산시",266878,134918,131960,266345,134736,131609,266389,134786,131603
"익산시",280399,139726,140673,280152,139577,140575,280072,139543,140529
"익산시함열출장소",0,0,0,0,0,0,0,0,0
"정읍시",107555,53439,54116,107489,53394,54095,107422,53374,54048
"남원시",80196,39331,40865,80086,39290,40796,80032,39277,40755
"김제시",82031,40661,41370,81593,40518,41075,81462,40449,41013
"완주군",91127,46842,44285,91126,46841,44285,91024,46782,44242
"진안군",25244,12756,12488,25233,12748,12485,25181,12724,12457
"무주군",23912,11915,11997,23917,11909,12008,23875,11889,11986
"장수군",21910,10935,10975,21902,10925,10977,21880,10922,10958
"임실군",27038,13856,13182,27019,13839,13180,27009,13828,13181
"순창군",27378,13366,14012,27321,13356,13965,27283,13326,13957
"고창군",54222,26821,27401,54018,26800,27218,53869,26716,27153
"부안군",51686,25685,26001,51547,25629,25918,51419,25563,25856
"전라남도",1844148,927667,916481,1842423,927074,915349,1840921,926398,914523
"목포시",221156,110217,110939,221020,110120,110900,220794,109995,110799
"여수시",279613,142638,136975,278999,142379,136620,278481,142137,136344
"순천시",282069,140756,141313,281745,140637,141108,281816,140664,141152
"나주시",116332,58605,57727,116486,58714,57772,116513,58762,57751
"광양시",150701,78627,72074,150660,78631,72029,150591,78601,71990
"담양군",46624,23627,22997,46650,23648,23002,46522,23607,22915
"곡성군",27916,13674,14242,27962,13720,14242,27916,13697,14219
"구례군",25400,12360,13040,25287,12311,12976,25255,12304,12951
"고흥군",63508,30867,32641,63434,30819,32615,63374,30813,32561
"보성군",40179,19592,20587,39891,19498,20393,39838,19462,20376
"화순군",62310,30841,31469,62225,30786,31439,62153,30733,31420
"장흥군",37177,18088,19089,37095,18032,19063,37028,18009,19019
"강진군",34314,16602,17712,34275,16582,17693,34248,16581,17667
"해남군",68229,33735,34494,68153,33705,34448,68055,33683,34372
"영암군",53437,27586,25851,53370,27608,25762,53290,27555,25735
"무안군",88075,44252,43823,88339,44409,43930,88660,44566,44094
"함평군",31653,15934,15719,31629,15927,15702,31526,15889,15637
